(12, '==> ', 'http://www.canadianbusiness.com/business-news/following-arrest-of-7-fifa-officials-sponsors-of-world-soccer-body-urged-to-press-for-change/', '( doc.', 'http://www.canadianbusiness.com/business-news/following-arrest-of-7-fifa-officials-sponsors-of-world-soccer-body-urged-to-press-for-change/', ') & ', 'http://www.sfgate.com/business/article/FIFA-may-face-more-pressure-from-sponsors-6290012.php', '( doc.', 'http://www.sfgate.com/business/article/FIFA-may-face-more-pressure-from-sponsors-6290012.php', ') ==> ', 99.96427039009615, '%')
(13, '==> ', 'http://www.timesunion.com/news/world/article/FIFA-s-commercial-partners-urged-to-make-their-6289599.php', '( doc.', 'http://www.timesunion.com/news/world/article/FIFA-s-commercial-partners-urged-to-make-their-6289599.php', ') & ', 'http://www.news.com.au/finance/business/fifas-commercial-partners-urged-to-make-their-voices-heard-as-bribery-scandal-widens/story-fnki1jcy-1227372267995', '( doc.', 'http://www.news.com.au/finance/business/fifas-commercial-partners-urged-to-make-their-voices-heard-as-bribery-scandal-widens/story-fnki1jcy-1227372267995', ') ==> ', 99.96154259082793, '%')
(14, '==> ', 'http://www.foxsports.com/soccer/story/fifas-commercial-partners-urged-to-make-their-voices-heard-052715', '( doc.', 'http://www.foxsports.com/soccer/story/fifas-commercial-partners-urged-to-make-their-voices-heard-052715', ') & ', 'http://www.canadianbusiness.com/business-news/following-arrest-of-7-fifa-officials-sponsors-of-world-soccer-body-urged-to-press-for-change/', '( doc.', 'http://www.canadianbusiness.com/business-news/following-arrest-of-7-fifa-officials-sponsors-of-world-soccer-body-urged-to-press-for-change/', ') ==> ', 99.96130893126238, '%')
(15, '==> ', 'http://www.jsonline.com/news/usandworld/national/fifas-commercial-partners-urged-to-make-their-voices-heardda1eb04a8d484bad9bd26dfdcce3a387-305211281.html', '( doc.', 'http://www.jsonline.com/news/usandworld/national/fifas-commercial-partners-urged-to-make-their-voices-heardda1eb04a8d484bad9bd26dfdcce3a387-305211281.html', ') & ', 'http://www.news.com.au/finance/business/fifas-commercial-partners-urged-to-make-their-voices-heard-as-bribery-scandal-widens/story-fnki1jcy-1227372267995', '( doc.', 'http://www.news.com.au/finance/business/fifas-commercial-partners-urged-to-make-their-voices-heard-as-bribery-scandal-widens/story-fnki1jcy-1227372267995', ') ==> ', 99.96103783717108, '%')
(16, '==> ', 'http://www.bradenton.com/2015/05/27/5820238/fifas-commercial-partners-urged.html#storylink%3Drss', '( doc.', 'http://www.bradenton.com/2015/05/27/5820238/fifas-commercial-partners-urged.html#storylink%3Drss', ') & ', 'http://www.wfsb.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', '( doc.', 'http://www.wfsb.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', ') ==> ', 99.9608817099109, '%')
(17, '==> ', 'http://time.com/3899602/visa-coca-cola-fifa/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Btime%252Fworld%2B%2528TIME%253A%2BTop%2BWorld%2BStories%2529&utm_content=FeedBurner%2Buser%2Bview', '( doc.', 'http://time.com/3899602/visa-coca-cola-fifa/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%253A%2Btime%252Fworld%2B%2528TIME%253A%2BTop%2BWorld%2BStories%2529&utm_content=FeedBurner%2Buser%2Bview', ') & ', 'http://www.newsmax.com/World/GlobalTalk/soccer-FIFA-Sponsors-visa/2015/05/28/id/647167/', '( doc.', 'http://www.newsmax.com/World/GlobalTalk/soccer-FIFA-Sponsors-visa/2015/05/28/id/647167/', ') ==> ', 99.96038181080718, '%')
(18, '==> ', 'http://www.canadianbusiness.com/business-news/following-arrest-of-7-fifa-officials-sponsors-of-world-soccer-body-urged-to-press-for-change/', '( doc.', 'http://www.canadianbusiness.com/business-news/following-arrest-of-7-fifa-officials-sponsors-of-world-soccer-body-urged-to-press-for-change/', ') & ', 'http://www.kpho.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', '( doc.', 'http://www.kpho.com/story/29170374/fifas-commercial-partners-urged-to-make-their-voices-heard', ') ==> ', 99.96028216300165, '%')
(19, '==> ', 'http://www.denverpost.com/rapids/ci_28198317/fifas-commercial-partners-urged-make-their-voices-heard?source=rss', '( doc.', 'http://www.denverpost.com/rapids/ci_28198317/fifas-commercial-partners-urged-make-their-voices-heard?source=rss', ') & ', 'http://www.usatoday.com/story/sports/soccer/2015/05/27/fifas-commercial-partners-urged-to-make-their-voices-heard/28022815/', '( doc.', 'http://www.usatoday.com/story/sports/soccer/2015/05/27/fifas-commercial-partners-urged-to-make-their-voices-heard/28022815/', ') ==> ', 99.95838278678417, '%')
(20, '==> ', 'http://www.denverpost.com/rapids/ci_28198317/fifas-commercial-partners-urged-make-their-voices-heard?source=rss', '( doc.', 'http://www.denverpost.com/rapids/ci_28198317/fifas-commercial-partners-urged-make-their-voices-heard?source=rss', ') & ', 'http://www.news.com.au/finance/business/fifas-commercial-partners-urged-to-make-their-voices-heard-as-bribery-scandal-widens/story-fnki1jcy-1227372267995', '( doc.', 'http://www.news.com.au/finance/business/fifas-commercial-partners-urged-to-make-their-voices-heard-as-bribery-scandal-widens/story-fnki1jcy-1227372267995', ') ==> ', 99.95635928023115, '%')
(21, '==> ', 'http://www.cbc.ca/news/business/fifa-sponsors-like-scotiabank-coke-and-visa-demand-change-as-scandal-rocks-soccer-world-1.3090586', '( doc.', 'http://www.cbc.ca/news/business/fifa-sponsors-like-scotiabank-coke-and-visa-demand-change-as-scandal-rocks-soccer-world-1.3090586', ') & ', 'http://www.newsmax.com/World/GlobalTalk/soccer-FIFA-Sponsors-visa/2015/05/28/id/647167/', '( doc.', 'http://www.newsmax.com/World/GlobalTalk/soccer-FIFA-Sponsors-visa/2015/05/28/id/647167/', ') ==> ', 99.95560514955068, '%')
