(14, '==> ', 'http://www.lapatria.com/medioambiente/rastrean-la-sangre-de-la-quebrada-olivares-431442?qt-qt_3_lomas=1', '( doc.', 'http://www.lapatria.com/medioambiente/rastrean-la-sangre-de-la-quebrada-olivares-431442?qt-qt_3_lomas=1', ') & ', 'http://www.lapatria.com/internacional/el-fundador-de-wikileaks-julian-assange-fue-detenido-por-las-autoridades-inglesas', '( doc.', 'http://www.lapatria.com/internacional/el-fundador-de-wikileaks-julian-assange-fue-detenido-por-las-autoridades-inglesas', ') ==> ', 93.53722519439144, '%')
(15, '==> ', 'https://elpais.com/deportes/2019/01/24/actualidad/1548312498_610951.html', '( doc.', 'https://elpais.com/deportes/2019/01/24/actualidad/1548312498_610951.html', ') & ', 'https://elpais.com/elpais/2016/01/04/icon/1451927477_593031.html', '( doc.', 'https://elpais.com/elpais/2016/01/04/icon/1451927477_593031.html', ') ==> ', 93.49262962155983, '%')
(16, '==> ', 'https://smoda.elpais.com/moda/actualidad/croana-albalia-representacion-bisexualidad-espana/', '( doc.', 'https://smoda.elpais.com/moda/actualidad/croana-albalia-representacion-bisexualidad-espana/', ') & ', 'https://www.elsoldemexico.com.mx/deportes/automotriz/lincoln-nautilus-2019-3342801.html', '( doc.', 'https://www.elsoldemexico.com.mx/deportes/automotriz/lincoln-nautilus-2019-3342801.html', ') ==> ', 93.47003744178187, '%')
(17, '==> ', 'http://www.lapatria.com/medioambiente/el-nino-fenomeno-de-cuidado-429592', '( doc.', 'http://www.lapatria.com/medioambiente/el-nino-fenomeno-de-cuidado-429592', ') & ', 'https://www.elsoldemexico.com.mx/mexico/politica/cuando-pueda-ser-politica-sera-tarde-para-salvar-el-planeta-cambio-climatico-greta-thunberg-3341822.html', '( doc.', 'https://www.elsoldemexico.com.mx/mexico/politica/cuando-pueda-ser-politica-sera-tarde-para-salvar-el-planeta-cambio-climatico-greta-thunberg-3341822.html', ') ==> ', 93.38334121557783, '%')
(18, '==> ', 'https://www.elsoldemexico.com.mx/mexico/politica/cuando-pueda-ser-politica-sera-tarde-para-salvar-el-planeta-cambio-climatico-greta-thunberg-3341822.html', '( doc.', 'https://www.elsoldemexico.com.mx/mexico/politica/cuando-pueda-ser-politica-sera-tarde-para-salvar-el-planeta-cambio-climatico-greta-thunberg-3341822.html', ') & ', 'https://www.elsoldemexico.com.mx/deportes/automotriz/lincoln-nautilus-2019-3342801.html', '( doc.', 'https://www.elsoldemexico.com.mx/deportes/automotriz/lincoln-nautilus-2019-3342801.html', ') ==> ', 93.33192952046872, '%')
(19, '==> ', 'https://www.lavozdelafrontera.com.mx/local/6-pasos-para-desconectarte-de-la-tecnologia-en-vacaciones-3342000.html', '( doc.', 'https://www.lavozdelafrontera.com.mx/local/6-pasos-para-desconectarte-de-la-tecnologia-en-vacaciones-3342000.html', ') & ', 'https://cincodias.elpais.com/cincodias/2019/04/02/companias/1554228323_575929.html', '( doc.', 'https://cincodias.elpais.com/cincodias/2019/04/02/companias/1554228323_575929.html', ') ==> ', 93.31049863159306, '%')
(20, '==> ', 'https://www.lavozdelafrontera.com.mx/local/6-pasos-para-desconectarte-de-la-tecnologia-en-vacaciones-3342000.html', '( doc.', 'https://www.lavozdelafrontera.com.mx/local/6-pasos-para-desconectarte-de-la-tecnologia-en-vacaciones-3342000.html', ') & ', 'https://www.diariodequeretaro.com.mx/circulos/turismo/vitaflumen-pasajes-queretanos-del-noroeste-3345137.html', '( doc.', 'https://www.diariodequeretaro.com.mx/circulos/turismo/vitaflumen-pasajes-queretanos-del-noroeste-3345137.html', ') ==> ', 93.29396136941327, '%')
(21, '==> ', 'http://www.lapatria.com/medioambiente/rastrean-la-sangre-de-la-quebrada-olivares-431442?qt-qt_3_lomas=1', '( doc.', 'http://www.lapatria.com/medioambiente/rastrean-la-sangre-de-la-quebrada-olivares-431442?qt-qt_3_lomas=1', ') & ', 'https://smoda.elpais.com/moda/actualidad/croana-albalia-representacion-bisexualidad-espana/', '( doc.', 'https://smoda.elpais.com/moda/actualidad/croana-albalia-representacion-bisexualidad-espana/', ') ==> ', 93.29057243725529, '%')
(22, '==> ', 'https://www.elsoldemexico.com.mx/mundo/alan-garcia-dejo-una-carta-antes-de-suicidarse-no-hubo-ni-habra-cuentas-ni-sobornos-3342337.html', '( doc.', 'https://www.elsoldemexico.com.mx/mundo/alan-garcia-dejo-una-carta-antes-de-suicidarse-no-hubo-ni-habra-cuentas-ni-sobornos-3342337.html', ') & ', 'https://www.elsoldemexico.com.mx/deportes/automotriz/lincoln-nautilus-2019-3342801.html', '( doc.', 'https://www.elsoldemexico.com.mx/deportes/automotriz/lincoln-nautilus-2019-3342801.html', ') ==> ', 93.27606987833286, '%')
(23, '==> ', 'http://www.lapatria.com/internacional/el-fundador-de-wikileaks-julian-assange-fue-detenido-por-las-autoridades-inglesas', '( doc.', 'http://www.lapatria.com/internacional/el-fundador-de-wikileaks-julian-assange-fue-detenido-por-las-autoridades-inglesas', ') & ', 'https://smoda.elpais.com/moda/actualidad/croana-albalia-representacion-bisexualidad-espana/', '( doc.', 'https://smoda.elpais.com/moda/actualidad/croana-albalia-representacion-bisexualidad-espana/', ') ==> ', 93.19774021355526, '%')
